2024-12-29 16:10:47.087323, Close: 95137.40, PredictedChange:, 0.0469, PredictedValue:, 95092.80, Signal: Hold 
2024-12-29 16:11:47.399757, Close: 95116.32, PredictedChange:, 0.0531, PredictedValue:, 95065.83, Signal: Hold 
2024-12-29 16:12:47.663749, Close: 95116.30, PredictedChange:, 0.0206, PredictedValue:, 95096.74, Signal: Hold 
2024-12-29 16:13:48.031304, Close: 95116.31, PredictedChange:, 0.0132, PredictedValue:, 95103.77, Signal: Hold 
2024-12-29 16:14:48.403699, Close: 95116.01, PredictedChange:, 0.0020, PredictedValue:, 95114.15, Signal: Hold 
2024-12-29 16:15:48.753031, Close: 95112.79, PredictedChange:, 0.0292, PredictedValue:, 95085.05, Signal: Hold 
2024-12-29 16:16:49.075621, Close: 95130.27, PredictedChange:, 0.0169, PredictedValue:, 95114.19, Signal: Hold 
2024-12-29 16:24:19.090460, Close: 95096.58, PredictedChange:, 0.0466, PredictedValue:, 95052.25, Signal: Hold 
2024-12-29 16:25:19.422122, Close: 95095.50, PredictedChange:, 0.0326, PredictedValue:, 95064.52, Signal: Hold 
2024-12-29 16:26:19.718372, Close: 95092.15, PredictedChange:, 0.0482, PredictedValue:, 95046.35, Signal: Hold 
2024-12-29 16:27:20.049428, Close: 95117.55, PredictedChange:, 0.0203, PredictedValue:, 95098.22, Signal: Hold 
2024-12-29 16:28:20.362829, Close: 95111.54, PredictedChange:, 0.0046, PredictedValue:, 95107.21, Signal: Hold 
2024-12-29 16:29:20.669017, Close: 95111.55, PredictedChange:, 0.0044, PredictedValue:, 95107.41, Signal: Hold 
2024-12-29 16:30:20.965177, Close: 95150.34, PredictedChange:, -0.0360, PredictedValue:, 95184.59, Signal: Hold 
2024-12-29 16:31:21.302102, Close: 95145.58, PredictedChange:, -0.0318, PredictedValue:, 95175.88, Signal: Hold 
2024-12-29 16:32:21.616747, Close: 95147.86, PredictedChange:, -0.0373, PredictedValue:, 95183.32, Signal: Hold 
2024-12-29 16:33:21.909907, Close: 95149.56, PredictedChange:, -0.0212, PredictedValue:, 95169.77, Signal: Hold 
2024-12-29 16:34:22.238002, Close: 95166.00, PredictedChange:, -0.0731, PredictedValue:, 95235.59, Signal: Hold 
2024-12-29 16:35:22.485643, Close: 95159.98, PredictedChange:, -0.0678, PredictedValue:, 95224.46, Signal: Hold 
2024-12-29 16:36:22.767198, Close: 95159.99, PredictedChange:, -0.0718, PredictedValue:, 95228.32, Signal: Hold 
2024-12-29 16:37:23.063262, Close: 95159.98, PredictedChange:, -0.0447, PredictedValue:, 95202.53, Signal: Hold 
2024-12-29 16:38:23.389509, Close: 95165.99, PredictedChange:, -0.0581, PredictedValue:, 95221.26, Signal: Hold 
2024-12-29 16:40:41.889136, Close: 95149.72, PredictedChange:, -0.0404, PredictedValue:, 95188.20, Signal: Hold 
